,Title,Year,Class,Species,Gradient,number of traits,Trait type,Counter or Co,Data collection,Number of populations,Number of Treatments,Experiment type (CG or RT),distance between analyzed (a and b) populations (km),elevation between analyzed (a and b) populations (m),notes,,
Hutchings et al. 2007,Genetic variation in life-history reaction norms in a marine fish,2007,Actinopterygii,Gadus morhua,temperature,1,physiological,co,graph,2,2,CG,,,,,
Oromi et al. 2015,Variation of growth rate and survival in embryos and larvae of Rana temporaria populations from the Pyrenees,2015,Amphibia,Rana temporaria,temperature,1,physiological,co,graph,2,3,CG,0.56,,560 m distance,,
Gorton et al. 2018,"Little plant, big city: a test of adaptation to urban environments in common ragweed (Ambrosia artemisiifolia)",2018,Asteraceae,Ambrosia artemisiifolia,urbanisation,1,physiological,counter,graph,2,2,CG,,,,,
Kivela et al. 2012,Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth,2012,Insecta,Cabera exanthemata,latitude,1,physiological,co,graph,,,CG,,,,,
Kivela et al. 2012,Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth,2012,Insecta,Cabera exanthemata,latitude,1,physiological,counter,graph,,,CG,,,,,
Robinson 2013,Evolution of growth by genetic accommodation in Icelandic freshwater stickleback,2013,Actinopterygii,Gasterosteus aculeatus,salinity,1,physiological,counter,graph,2,2,CG,,,,,
Richter-Boix et al. 2010,Local selection modifies phenotypic divergence among Rana temporaria populations in the presence of gene flow,2010,Amphibia,Rana temporaria,shade cover,2,physiological,counter,graph,5,2,CG,,,shade was used as proxy for temp so no lat/long to measure over,,
Kong et al. 2019,Linking thermal adaptation and life-history theory explains latitudinal patterns of voltinism,2019,Insecta,Warramaba whitei,latitude,1,physiological,co,table,2,2,CG,,,"unclear distance, data was collected from supplementary r script (war16)",,
X and Stoks 2019,Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs,2019,Insecta ,Ischnura elegans,latitude,1,physiological,co,graph,2,2,CG,,,"only used DTF 0 treatment, used multiple populations for each group (e.g. south) so can't collect proper distance","This and Debeker and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Verheyen and Stoks 2019, recoded as X and Stoks"
X and Stoks 2019,"Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes",2019,Insecta ,Ischnura elegans,latitude,1,physiological,co,graph,2,2,CG,,,used multiple populations for each group (e.g. south) so can't collect proper distance,"This and Verheyen and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Debeker and Stoks 2019, , recoded as X and Stoks"
Sniegula et al. 2012,Growth Pattern Responses to Photoperiod across Latitudes in a Northern Damselfly,2012,Insecta,Coenagrion johanssoni,photoperiod,1,physiological,counter,graph,2,2,CG,,,,,
Albecker and McCoy 2019,Local adaptation for enhanced salt tolerance reduces non-adaptive plasticity caused by osmotic stress,2019,Amphibia,Hyla cinerea,salinity,2,physiological,counter ,graph,2,2,CG,,,,,
Aichelman et al. 2019,Adaptive signatures in thermal performance of the temperate coral Astrangia poculata,2019,Anthozoa,Astrangia poculata,latitude,1,physiological,counter,graph,2,1,CG,545,,,,
Manyak-Davis et al. 2013,The Relative Importance of Predation Risk and Water Temperature in Maintaining Bergmann's Rule in a Marine Ectotherm,2013,Malacostraca,Idotea balthica,latitude,2,physiological,both,graph,2,2,CG,,,,,
Li et al. 2018b,Phenotypic Consequences of Embryonic Responses to Developmental Temperatures in Two Latitudinally Separated Populations of Asian Yellow Pond Turtles,2018,Reptilia,Mauremys mutica,latitude,3,physiological,both,graph,2,2,CG,702,,,,
Richter-Boix et al. 2015,Local divergence of thermal reaction norms among amphibian populations is affected by pond temperature variation,2015,Amphibia,Rana arvalis,shade cover,2,physiological,counter,graph,7,2,CG,,,,,
Solomon et al. 2015,Evidence of Countergradient Variation in Growth of Spotted Gars from Core and Peripheral Populations,2015,Actinopterygii,Lepisosteus oculatus,latitude,2,physiological,counter,graph,2,3,CG,,,,,
Handelsman et al. 2013,Predator-Induced Phenotypic Plasticity in Metabolism and Rate of Growth: Rapid Adaptation to a Novel Environment,2013,Actinopterygii,Poecilia reticulata,predator,1,physiological,counter,graph,2,2,CG,,,,,
Rooke et al. 2017,"Thermal physiology of native cool-climate, and non-native warm-climate Pumpkinseed sunfish raised in a common environment",2017,Actinopterygii,Lepomis gibbosus,temperature,1,physiological,counter,graph,2,3,CG,,,native vs. non-native fish,,
Tang et al. 2017,Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle,2017,Insecta,Colaphellus bowringi ,latitude,3,physiological,co,table,2,6,CG,,,,,
